Votes,Total,Candidate
12,2573,KABULETA KIIZA JOSEPH
3,235,KABULETA KIIZA JOSEPH
3,235,KABULETA KIIZA JOSEPH
0,282,KABULETA KIIZA JOSEPH
0,282,KABULETA KIIZA JOSEPH
56,44499,KABULETA KIIZA JOSEPH
12,3308,KABULETA KIIZA JOSEPH
3,1528,KABULETA KIIZA JOSEPH
12,1281,KABULETA KIIZA JOSEPH
2,1086,KABULETA KIIZA JOSEPH
40,7467,KABULETA KIIZA JOSEPH
6,1976,KABULETA KIIZA JOSEPH
5,460,KABULETA KIIZA JOSEPH
0,314,KABULETA KIIZA JOSEPH
6,1923,KABULETA KIIZA JOSEPH
10,868,KABULETA KIIZA JOSEPH
0,210,KABULETA KIIZA JOSEPH
0,420,KABULETA KIIZA JOSEPH
0,420,KABULETA KIIZA JOSEPH
1,221,KABULETA KIIZA JOSEPH
1,221,KABULETA KIIZA JOSEPH
10,11707,KABULETA KIIZA JOSEPH
27,5843,KABULETA KIIZA JOSEPH
0,318,KABULETA KIIZA JOSEPH
0,274,KABULETA KIIZA JOSEPH
0,274,KABULETA KIIZA JOSEPH
5,6089,KABULETA KIIZA JOSEPH
9,1803,KABULETA KIIZA JOSEPH
1,303,KABULETA KIIZA JOSEPH
1,303,KABULETA KIIZA JOSEPH
2,515,KABULETA KIIZA JOSEPH
7,2617,KABULETA KIIZA JOSEPH
2,4820,KABULETA KIIZA JOSEPH
2,1929,KABULETA KIIZA JOSEPH
26,5911,KABULETA KIIZA JOSEPH
4,1183,KABULETA KIIZA JOSEPH
7,3670,KABULETA KIIZA JOSEPH
3,331,KABULETA KIIZA JOSEPH
1,220,KABULETA KIIZA JOSEPH
6,802,KABULETA KIIZA JOSEPH
3,1093,KABULETA KIIZA JOSEPH
1,298,KABULETA KIIZA JOSEPH
3,307,KABULETA KIIZA JOSEPH
3,307,KABULETA KIIZA JOSEPH
2,3598,KABULETA KIIZA JOSEPH
11,4751,KABULETA KIIZA JOSEPH
21,9470,KABULETA KIIZA JOSEPH
21,10838,KABULETA KIIZA JOSEPH
1,190,KABULETA KIIZA JOSEPH
3,2294,KABULETA KIIZA JOSEPH
4,1529,KABULETA KIIZA JOSEPH
0,1287,KABULETA KIIZA JOSEPH
2,1648,KABULETA KIIZA JOSEPH
13,599,KABULETA KIIZA JOSEPH
0,323,KABULETA KIIZA JOSEPH
0,181,KABULETA KIIZA JOSEPH
0,181,KABULETA KIIZA JOSEPH
10,1269,KABULETA KIIZA JOSEPH
4,1904,KABULETA KIIZA JOSEPH
10,2195,KABULETA KIIZA JOSEPH
0,342,KABULETA KIIZA JOSEPH
0,342,KABULETA KIIZA JOSEPH
4,301,KABULETA KIIZA JOSEPH
2,229,KABULETA KIIZA JOSEPH
0,277,KABULETA KIIZA JOSEPH
31,5086,KABULETA KIIZA JOSEPH
21,7102,KABULETA KIIZA JOSEPH
8,2602,KABULETA KIIZA JOSEPH
4,429,KABULETA KIIZA JOSEPH
4,429,KABULETA KIIZA JOSEPH
2,146,KABULETA KIIZA JOSEPH
2,146,KABULETA KIIZA JOSEPH
2,231,KABULETA KIIZA JOSEPH
2,231,KABULETA KIIZA JOSEPH
0,144,KABULETA KIIZA JOSEPH
0,144,KABULETA KIIZA JOSEPH
2,424,KABULETA KIIZA JOSEPH
5,2977,KABULETA KIIZA JOSEPH
5,10170,KABULETA KIIZA JOSEPH
25,8198,KABULETA KIIZA JOSEPH
3,967,KABULETA KIIZA JOSEPH
4,4308,KABULETA KIIZA JOSEPH
20,875,KABULETA KIIZA JOSEPH
13,778,KABULETA KIIZA JOSEPH
0,298,KABULETA KIIZA JOSEPH
0,323,KABULETA KIIZA JOSEPH
0,196,KABULETA KIIZA JOSEPH
0,196,KABULETA KIIZA JOSEPH
6,2061,KABULETA KIIZA JOSEPH
3,1231,KABULETA KIIZA JOSEPH
0,255,KABULETA KIIZA JOSEPH
0,148,KABULETA KIIZA JOSEPH
1,200,KABULETA KIIZA JOSEPH
1,200,KABULETA KIIZA JOSEPH
1,222,KABULETA KIIZA JOSEPH
1,222,KABULETA KIIZA JOSEPH
27,3584,KABULETA KIIZA JOSEPH
8,1518,KABULETA KIIZA JOSEPH
1,1081,KABULETA KIIZA JOSEPH
5,1868,KABULETA KIIZA JOSEPH
27,2352,KABULETA KIIZA JOSEPH
2,367,KABULETA KIIZA JOSEPH
1,326,KABULETA KIIZA JOSEPH
1,154,KABULETA KIIZA JOSEPH
11,3165,KABULETA KIIZA JOSEPH
20,12841,KABULETA KIIZA JOSEPH
5,1676,KABULETA KIIZA JOSEPH
23,5027,KABULETA KIIZA JOSEPH
2,294,KABULETA KIIZA JOSEPH
12,1135,KABULETA KIIZA JOSEPH
16,8555,KABULETA KIIZA JOSEPH
15,9543,KABULETA KIIZA JOSEPH
1,2493,KABULETA KIIZA JOSEPH
2,964,KABULETA KIIZA JOSEPH
3,2509,KABULETA KIIZA JOSEPH
9,1772,KABULETA KIIZA JOSEPH
10,6252,KABULETA KIIZA JOSEPH
19,6048,KABULETA KIIZA JOSEPH
1,183,KABULETA KIIZA JOSEPH
1,216,KABULETA KIIZA JOSEPH
1,216,KABULETA KIIZA JOSEPH
6,2429,KABULETA KIIZA JOSEPH
10,5684,KABULETA KIIZA JOSEPH
1,2538,KABULETA KIIZA JOSEPH
5,7556,KABULETA KIIZA JOSEPH
3,1566,KABULETA KIIZA JOSEPH
36,2610,KABULETA KIIZA JOSEPH
12,4076,KABULETA KIIZA JOSEPH
0,336,KABULETA KIIZA JOSEPH
0,336,KABULETA KIIZA JOSEPH
0,302,KABULETA KIIZA JOSEPH
0,302,KABULETA KIIZA JOSEPH
3,1820,KABULETA KIIZA JOSEPH
11,1542,KABULETA KIIZA JOSEPH
0,305,KABULETA KIIZA JOSEPH
0,305,KABULETA KIIZA JOSEPH
0,325,KABULETA KIIZA JOSEPH
0,325,KABULETA KIIZA JOSEPH
28,9460,KABULETA KIIZA JOSEPH
30,2642,KABULETA KIIZA JOSEPH
5,1117,KABULETA KIIZA JOSEPH
5,347,KABULETA KIIZA JOSEPH
2,384,KABULETA KIIZA JOSEPH
27,9550,KABULETA KIIZA JOSEPH
11,2016,KABULETA KIIZA JOSEPH
2,277,KABULETA KIIZA JOSEPH
3,167,KABULETA KIIZA JOSEPH
11,1131,KABULETA KIIZA JOSEPH
0,359,KABULETA KIIZA JOSEPH
19,5520,KABULETA KIIZA JOSEPH
2,1342,KABULETA KIIZA JOSEPH
11,1578,KABULETA KIIZA JOSEPH
4,1190,KABULETA KIIZA JOSEPH
1,519,KABULETA KIIZA JOSEPH
5,2111,KABULETA KIIZA JOSEPH
1,176,KABULETA KIIZA JOSEPH
1,176,KABULETA KIIZA JOSEPH
3,2043,KABULETA KIIZA JOSEPH
1,1256,KABULETA KIIZA JOSEPH
8,2595,KABULETA KIIZA JOSEPH
7,3608,KABULETA KIIZA JOSEPH
28,27735,KABULETA KIIZA JOSEPH
20,818,KABULETA KIIZA JOSEPH
7,725,KABULETA KIIZA JOSEPH
13,875,KABULETA KIIZA JOSEPH
4,275,KABULETA KIIZA JOSEPH
7,1576,KABULETA KIIZA JOSEPH
9,2090,KABULETA KIIZA JOSEPH
17,5002,KABULETA KIIZA JOSEPH
12,846,KABULETA KIIZA JOSEPH
1,380,KABULETA KIIZA JOSEPH
3,3293,KABULETA KIIZA JOSEPH
2,1123,KABULETA KIIZA JOSEPH
1,1270,KABULETA KIIZA JOSEPH
5,949,KABULETA KIIZA JOSEPH
21,2040,KABULETA KIIZA JOSEPH
0,324,KABULETA KIIZA JOSEPH
17,831,KABULETA KIIZA JOSEPH
1,470,KABULETA KIIZA JOSEPH
3,929,KABULETA KIIZA JOSEPH
12,416,KABULETA KIIZA JOSEPH
7,782,KABULETA KIIZA JOSEPH
8,1216,KABULETA KIIZA JOSEPH
7,2394,KABULETA KIIZA JOSEPH
18,7441,KABULETA KIIZA JOSEPH
2,276,KABULETA KIIZA JOSEPH
2,276,KABULETA KIIZA JOSEPH
7,301,KABULETA KIIZA JOSEPH
7,301,KABULETA KIIZA JOSEPH
0,195,KABULETA KIIZA JOSEPH
0,195,KABULETA KIIZA JOSEPH
7,1244,KABULETA KIIZA JOSEPH
6,1345,KABULETA KIIZA JOSEPH
9,11014,KABULETA KIIZA JOSEPH
4,1283,KABULETA KIIZA JOSEPH
5,962,KABULETA KIIZA JOSEPH
2,415,KABULETA KIIZA JOSEPH
8,662,KABULETA KIIZA JOSEPH
3,481,KABULETA KIIZA JOSEPH
11,2235,KABULETA KIIZA JOSEPH
1,2502,KABULETA KIIZA JOSEPH
20,4858,KABULETA KIIZA JOSEPH
1,487,KABULETA KIIZA JOSEPH
9,3925,KABULETA KIIZA JOSEPH
5,1440,KABULETA KIIZA JOSEPH
3,1490,KABULETA KIIZA JOSEPH
2,1028,KABULETA KIIZA JOSEPH
2,480,KABULETA KIIZA JOSEPH
11,978,KABULETA KIIZA JOSEPH
9,497,KABULETA KIIZA JOSEPH
41,2754,KABULETA KIIZA JOSEPH
15,7928,KABULETA KIIZA JOSEPH
4,1126,KABULETA KIIZA JOSEPH
0,226,KABULETA KIIZA JOSEPH
6,354,KABULETA KIIZA JOSEPH
0,179,KABULETA KIIZA JOSEPH
0,152,KABULETA KIIZA JOSEPH
0,152,KABULETA KIIZA JOSEPH
2,230,KABULETA KIIZA JOSEPH
2,230,KABULETA KIIZA JOSEPH
11,928,KABULETA KIIZA JOSEPH
10,1651,KABULETA KIIZA JOSEPH
7,7625,KABULETA KIIZA JOSEPH
1,1428,KABULETA KIIZA JOSEPH
1,656,KABULETA KIIZA JOSEPH
0,464,KABULETA KIIZA JOSEPH
0,464,KABULETA KIIZA JOSEPH
8,1016,KABULETA KIIZA JOSEPH
19,22894,KABULETA KIIZA JOSEPH
4,757,KABULETA KIIZA JOSEPH
7,1273,KABULETA KIIZA JOSEPH
7,2925,KABULETA KIIZA JOSEPH
6,1666,KABULETA KIIZA JOSEPH
2,3083,KABULETA KIIZA JOSEPH
4,430,KABULETA KIIZA JOSEPH
7,9254,KABULETA KIIZA JOSEPH
6,9282,KABULETA KIIZA JOSEPH
2,554,KABULETA KIIZA JOSEPH
4,4307,KABULETA KIIZA JOSEPH
8,1551,KABULETA KIIZA JOSEPH
12,2204,KABULETA KIIZA JOSEPH
6,3889,KABULETA KIIZA JOSEPH
0,1520,KABULETA KIIZA JOSEPH
2,4104,KABULETA KIIZA JOSEPH
17,8586,KABULETA KIIZA JOSEPH
32,12142,KABULETA KIIZA JOSEPH
12,5669,KABULETA KIIZA JOSEPH
5,905,KABULETA KIIZA JOSEPH
3,617,KABULETA KIIZA JOSEPH
1,3828,KABULETA KIIZA JOSEPH
9,1158,KABULETA KIIZA JOSEPH
8,1988,KABULETA KIIZA JOSEPH
3,2353,KABULETA KIIZA JOSEPH
2,1570,KABULETA KIIZA JOSEPH
0,4141,KABULETA KIIZA JOSEPH
15,8199,KABULETA KIIZA JOSEPH
3,1053,KABULETA KIIZA JOSEPH
1,593,KABULETA KIIZA JOSEPH
7,2567,KABULETA KIIZA JOSEPH
1,535,KABULETA KIIZA JOSEPH
1,228,KABULETA KIIZA JOSEPH
0,1918,KABULETA KIIZA JOSEPH
5,5935,KABULETA KIIZA JOSEPH
0,872,KABULETA KIIZA JOSEPH
6,10487,KABULETA KIIZA JOSEPH
14,5975,KABULETA KIIZA JOSEPH
0,1084,KABULETA KIIZA JOSEPH
0,976,KABULETA KIIZA JOSEPH
4,2483,KABULETA KIIZA JOSEPH
4,1727,KABULETA KIIZA JOSEPH
16,1226,KABULETA KIIZA JOSEPH
89,3729,KABULETA KIIZA JOSEPH
13,5942,KABULETA KIIZA JOSEPH
5,6225,KABULETA KIIZA JOSEPH
1,742,KABULETA KIIZA JOSEPH
4,2918,KABULETA KIIZA JOSEPH
16,714,KABULETA KIIZA JOSEPH
34,1806,KABULETA KIIZA JOSEPH
3,839,KABULETA KIIZA JOSEPH
2,1268,KABULETA KIIZA JOSEPH
0,983,KABULETA KIIZA JOSEPH
6,3993,KABULETA KIIZA JOSEPH
2,5052,KABULETA KIIZA JOSEPH
7,7719,KABULETA KIIZA JOSEPH
15,5055,KABULETA KIIZA JOSEPH
7,1135,KABULETA KIIZA JOSEPH
5,990,KABULETA KIIZA JOSEPH
2,721,KABULETA KIIZA JOSEPH
5,519,KABULETA KIIZA JOSEPH
8,4082,KABULETA KIIZA JOSEPH
6,933,KABULETA KIIZA JOSEPH
7,946,KABULETA KIIZA JOSEPH
19,2748,KABULETA KIIZA JOSEPH
13,1481,KABULETA KIIZA JOSEPH
1,1201,KABULETA KIIZA JOSEPH
0,504,KABULETA KIIZA JOSEPH
5,2959,KABULETA KIIZA JOSEPH
3,1425,KABULETA KIIZA JOSEPH
3,1044,KABULETA KIIZA JOSEPH
132,19553,KABULETA KIIZA JOSEPH
1,200,KABULETA KIIZA JOSEPH
1,200,KABULETA KIIZA JOSEPH
1,209,KABULETA KIIZA JOSEPH
1,209,KABULETA KIIZA JOSEPH
0,146,KABULETA KIIZA JOSEPH
0,146,KABULETA KIIZA JOSEPH
5,1575,KABULETA KIIZA JOSEPH
3,1823,KABULETA KIIZA JOSEPH
4,1739,KABULETA KIIZA JOSEPH
3,869,KABULETA KIIZA JOSEPH
13,6087,KABULETA KIIZA JOSEPH
12,3423,KABULETA KIIZA JOSEPH
6,6945,KABULETA KIIZA JOSEPH
5,7234,KABULETA KIIZA JOSEPH
12,11630,KABULETA KIIZA JOSEPH
3,585,KABULETA KIIZA JOSEPH
0,498,KABULETA KIIZA JOSEPH
45,12827,KABULETA KIIZA JOSEPH
0,231,KABULETA KIIZA JOSEPH
0,231,KABULETA KIIZA JOSEPH
1,125,KABULETA KIIZA JOSEPH
1,125,KABULETA KIIZA JOSEPH
8,1808,KABULETA KIIZA JOSEPH
0,2026,KABULETA KIIZA JOSEPH
2,450,KABULETA KIIZA JOSEPH
13,5045,KABULETA KIIZA JOSEPH
9,5662,KABULETA KIIZA JOSEPH
0,1006,KABULETA KIIZA JOSEPH
2,539,KABULETA KIIZA JOSEPH
18,13787,KABULETA KIIZA JOSEPH
12,456,KABULETA KIIZA JOSEPH
0,249,KABULETA KIIZA JOSEPH
0,249,KABULETA KIIZA JOSEPH
0,965,KABULETA KIIZA JOSEPH
445,11484,KABULETA KIIZA JOSEPH
0,1828,KABULETA KIIZA JOSEPH
20,4010,KABULETA KIIZA JOSEPH
20,5356,KABULETA KIIZA JOSEPH
0,566,KABULETA KIIZA JOSEPH
0,474,KABULETA KIIZA JOSEPH
1,723,KABULETA KIIZA JOSEPH
1,723,KABULETA KIIZA JOSEPH
4,1772,KABULETA KIIZA JOSEPH
30,10116,KABULETA KIIZA JOSEPH
1,5091,KABULETA KIIZA JOSEPH
7,357,KABULETA KIIZA JOSEPH
4,179,KABULETA KIIZA JOSEPH
4,802,KABULETA KIIZA JOSEPH
6,987,KABULETA KIIZA JOSEPH
8,1804,KABULETA KIIZA JOSEPH
3,1323,KABULETA KIIZA JOSEPH
4,1218,KABULETA KIIZA JOSEPH
4,923,KABULETA KIIZA JOSEPH
2,1965,KABULETA KIIZA JOSEPH
2,1281,KABULETA KIIZA JOSEPH
0,365,KABULETA KIIZA JOSEPH
0,365,KABULETA KIIZA JOSEPH
3,430,KABULETA KIIZA JOSEPH
10,6524,KABULETA KIIZA JOSEPH
4,774,KABULETA KIIZA JOSEPH
4,1373,KABULETA KIIZA JOSEPH
3,1055,KABULETA KIIZA JOSEPH
1,340,KABULETA KIIZA JOSEPH
14,522,KABULETA KIIZA JOSEPH
1,177,KABULETA KIIZA JOSEPH
0,116,KABULETA KIIZA JOSEPH
0,194,KABULETA KIIZA JOSEPH
0,194,KABULETA KIIZA JOSEPH
0,2307,KABULETA KIIZA JOSEPH
1,368,KABULETA KIIZA JOSEPH
0,520,KABULETA KIIZA JOSEPH
9,1535,KABULETA KIIZA JOSEPH
4,1092,KABULETA KIIZA JOSEPH
1,377,KABULETA KIIZA JOSEPH
0,499,KABULETA KIIZA JOSEPH
1,452,KABULETA KIIZA JOSEPH
2,414,KABULETA KIIZA JOSEPH
3,497,KABULETA KIIZA JOSEPH
2,662,KABULETA KIIZA JOSEPH
0,857,KABULETA KIIZA JOSEPH
1,2990,KABULETA KIIZA JOSEPH
4,2667,KABULETA KIIZA JOSEPH
8,397,KABULETA KIIZA JOSEPH
1,399,KABULETA KIIZA JOSEPH
7,1172,KABULETA KIIZA JOSEPH
4,1624,KABULETA KIIZA JOSEPH
8,626,KABULETA KIIZA JOSEPH
3,2306,KABULETA KIIZA JOSEPH
0,2342,KABULETA KIIZA JOSEPH
15,5492,KABULETA KIIZA JOSEPH
2,451,KABULETA KIIZA JOSEPH
27,5189,KABULETA KIIZA JOSEPH
6,429,KABULETA KIIZA JOSEPH
2,998,KABULETA KIIZA JOSEPH
0,181,KABULETA KIIZA JOSEPH
0,181,KABULETA KIIZA JOSEPH
3,1873,KABULETA KIIZA JOSEPH
5,1777,KABULETA KIIZA JOSEPH
2,1916,KABULETA KIIZA JOSEPH
0,994,KABULETA KIIZA JOSEPH
1,495,KABULETA KIIZA JOSEPH
5,3326,KABULETA KIIZA JOSEPH
13,5073,KABULETA KIIZA JOSEPH
7,663,KABULETA KIIZA JOSEPH
2,3146,KABULETA KIIZA JOSEPH
3,397,KABULETA KIIZA JOSEPH
4,885,KABULETA KIIZA JOSEPH
0,363,KABULETA KIIZA JOSEPH
0,642,KABULETA KIIZA JOSEPH
2,448,KABULETA KIIZA JOSEPH
2,569,KABULETA KIIZA JOSEPH
6,1390,KABULETA KIIZA JOSEPH
10,318,KABULETA KIIZA JOSEPH
0,1023,KABULETA KIIZA JOSEPH
7,1086,KABULETA KIIZA JOSEPH
10,1292,KABULETA KIIZA JOSEPH
1,1261,KABULETA KIIZA JOSEPH
1,3642,KABULETA KIIZA JOSEPH
1,489,KABULETA KIIZA JOSEPH
3,2552,KABULETA KIIZA JOSEPH
5,2756,KABULETA KIIZA JOSEPH
2,1086,KABULETA KIIZA JOSEPH
0,632,KABULETA KIIZA JOSEPH
2,490,KABULETA KIIZA JOSEPH
1,497,KABULETA KIIZA JOSEPH
2,4797,KABULETA KIIZA JOSEPH
10,353,KABULETA KIIZA JOSEPH
3,413,KABULETA KIIZA JOSEPH
3,413,KABULETA KIIZA JOSEPH
2,1042,KABULETA KIIZA JOSEPH
11,1230,KABULETA KIIZA JOSEPH
1,1430,KABULETA KIIZA JOSEPH
9,881,KABULETA KIIZA JOSEPH
0,2674,KABULETA KIIZA JOSEPH
14,3794,KABULETA KIIZA JOSEPH
2,1397,KABULETA KIIZA JOSEPH
0,1338,KABULETA KIIZA JOSEPH
0,539,KABULETA KIIZA JOSEPH
11,4030,KABULETA KIIZA JOSEPH
8,3357,KABULETA KIIZA JOSEPH
17,4629,KABULETA KIIZA JOSEPH
3,2220,KABULETA KIIZA JOSEPH
3,534,KABULETA KIIZA JOSEPH
2,346,KABULETA KIIZA JOSEPH
1,501,KABULETA KIIZA JOSEPH
0,430,KABULETA KIIZA JOSEPH
2,562,KABULETA KIIZA JOSEPH
2,562,KABULETA KIIZA JOSEPH
4,522,KABULETA KIIZA JOSEPH
3,469,KABULETA KIIZA JOSEPH
2,906,KABULETA KIIZA JOSEPH
6,390,KABULETA KIIZA JOSEPH
6,390,KABULETA KIIZA JOSEPH
5,428,KABULETA KIIZA JOSEPH
9,526,KABULETA KIIZA JOSEPH
0,216,KABULETA KIIZA JOSEPH
0,216,KABULETA KIIZA JOSEPH
9,1267,KABULETA KIIZA JOSEPH
7,1980,KABULETA KIIZA JOSEPH
4,1865,KABULETA KIIZA JOSEPH
5,2646,KABULETA KIIZA JOSEPH
1,1694,KABULETA KIIZA JOSEPH
3,1893,KABULETA KIIZA JOSEPH
3,427,KABULETA KIIZA JOSEPH
3,779,KABULETA KIIZA JOSEPH
0,514,KABULETA KIIZA JOSEPH
0,943,KABULETA KIIZA JOSEPH
2,859,KABULETA KIIZA JOSEPH
2,262,KABULETA KIIZA JOSEPH
3,413,KABULETA KIIZA JOSEPH
2,393,KABULETA KIIZA JOSEPH
2,420,KABULETA KIIZA JOSEPH
1,634,KABULETA KIIZA JOSEPH
2,1302,KABULETA KIIZA JOSEPH
4,2416,KABULETA KIIZA JOSEPH
19,2895,KABULETA KIIZA JOSEPH
9,2881,KABULETA KIIZA JOSEPH
5,581,KABULETA KIIZA JOSEPH
6,317,KABULETA KIIZA JOSEPH
10,818,KABULETA KIIZA JOSEPH
1,153,KABULETA KIIZA JOSEPH
1,153,KABULETA KIIZA JOSEPH
7,1741,KABULETA KIIZA JOSEPH
12,1608,KABULETA KIIZA JOSEPH
0,1208,KABULETA KIIZA JOSEPH
0,990,KABULETA KIIZA JOSEPH
16,646,KABULETA KIIZA JOSEPH
2,2526,KABULETA KIIZA JOSEPH
2,2402,KABULETA KIIZA JOSEPH
3,1704,KABULETA KIIZA JOSEPH
15,5606,KABULETA KIIZA JOSEPH
1,544,KABULETA KIIZA JOSEPH
6,1361,KABULETA KIIZA JOSEPH
0,233,KABULETA KIIZA JOSEPH
2,346,KABULETA KIIZA JOSEPH
24,3030,KABULETA KIIZA JOSEPH
4,352,KABULETA KIIZA JOSEPH
8,3114,KABULETA KIIZA JOSEPH
11,1099,KABULETA KIIZA JOSEPH
219,5693,KABULETA KIIZA JOSEPH
2,482,KABULETA KIIZA JOSEPH
0,1254,KABULETA KIIZA JOSEPH
1,1066,KABULETA KIIZA JOSEPH
3,446,KABULETA KIIZA JOSEPH
3,2088,KABULETA KIIZA JOSEPH
0,459,KABULETA KIIZA JOSEPH
2,597,KABULETA KIIZA JOSEPH
1,617,KABULETA KIIZA JOSEPH
1,588,KABULETA KIIZA JOSEPH
1,338,KABULETA KIIZA JOSEPH
2,1313,KABULETA KIIZA JOSEPH
1,4065,KABULETA KIIZA JOSEPH
8,353,KABULETA KIIZA JOSEPH
12,751,KABULETA KIIZA JOSEPH
6,1203,KABULETA KIIZA JOSEPH
5,287,KABULETA KIIZA JOSEPH
15,1996,KABULETA KIIZA JOSEPH
3,1599,KABULETA KIIZA JOSEPH
0,150,KABULETA KIIZA JOSEPH
0,150,KABULETA KIIZA JOSEPH
1,1106,KABULETA KIIZA JOSEPH
2,1048,KABULETA KIIZA JOSEPH
2,1117,KABULETA KIIZA JOSEPH
2,780,KABULETA KIIZA JOSEPH
6,289,KABULETA KIIZA JOSEPH
31,3884,KABULETA KIIZA JOSEPH
3,647,KABULETA KIIZA JOSEPH
23,2265,KABULETA KIIZA JOSEPH
5,3255,KABULETA KIIZA JOSEPH
9,1146,KABULETA KIIZA JOSEPH
7,6908,KABULETA KIIZA JOSEPH
0,394,KABULETA KIIZA JOSEPH
3,406,KABULETA KIIZA JOSEPH
2,464,KABULETA KIIZA JOSEPH
1,447,KABULETA KIIZA JOSEPH
3,406,KABULETA KIIZA JOSEPH
1,400,KABULETA KIIZA JOSEPH
2,999,KABULETA KIIZA JOSEPH
0,372,KABULETA KIIZA JOSEPH
9,254,KABULETA KIIZA JOSEPH
9,1715,KABULETA KIIZA JOSEPH
5,1145,KABULETA KIIZA JOSEPH
1,789,KABULETA KIIZA JOSEPH
7,1618,KABULETA KIIZA JOSEPH
8,315,KABULETA KIIZA JOSEPH
8,315,KABULETA KIIZA JOSEPH
0,1847,KABULETA KIIZA JOSEPH
0,1803,KABULETA KIIZA JOSEPH
1,1219,KABULETA KIIZA JOSEPH
1,1250,KABULETA KIIZA JOSEPH
0,724,KABULETA KIIZA JOSEPH
1,3111,KABULETA KIIZA JOSEPH
1,355,KABULETA KIIZA JOSEPH
5,3541,KABULETA KIIZA JOSEPH
1,2418,KABULETA KIIZA JOSEPH
13,3902,KABULETA KIIZA JOSEPH
2,488,KABULETA KIIZA JOSEPH
1,475,KABULETA KIIZA JOSEPH
1,648,KABULETA KIIZA JOSEPH
1,526,KABULETA KIIZA JOSEPH
4,649,KABULETA KIIZA JOSEPH
3,310,KABULETA KIIZA JOSEPH
1,449,KABULETA KIIZA JOSEPH
2,474,KABULETA KIIZA JOSEPH
1,395,KABULETA KIIZA JOSEPH
0,379,KABULETA KIIZA JOSEPH
0,379,KABULETA KIIZA JOSEPH
7,593,KABULETA KIIZA JOSEPH
10,285,KABULETA KIIZA JOSEPH
14,891,KABULETA KIIZA JOSEPH
10,732,KABULETA KIIZA JOSEPH
9,1731,KABULETA KIIZA JOSEPH
9,1597,KABULETA KIIZA JOSEPH
0,1338,KABULETA KIIZA JOSEPH
7,569,KABULETA KIIZA JOSEPH
190,4490,KABULETA KIIZA JOSEPH
1,1675,KABULETA KIIZA JOSEPH
1,418,KABULETA KIIZA JOSEPH
0,501,KABULETA KIIZA JOSEPH
1,3209,KABULETA KIIZA JOSEPH
6,5109,KABULETA KIIZA JOSEPH
10,6086,KABULETA KIIZA JOSEPH
6,3783,KABULETA KIIZA JOSEPH
3,647,KABULETA KIIZA JOSEPH
2,505,KABULETA KIIZA JOSEPH
3,377,KABULETA KIIZA JOSEPH
2,587,KABULETA KIIZA JOSEPH
0,514,KABULETA KIIZA JOSEPH
2,475,KABULETA KIIZA JOSEPH
1,598,KABULETA KIIZA JOSEPH
0,403,KABULETA KIIZA JOSEPH
0,346,KABULETA KIIZA JOSEPH
3,1326,KABULETA KIIZA JOSEPH
4,902,KABULETA KIIZA JOSEPH
6,646,KABULETA KIIZA JOSEPH
2,2287,KABULETA KIIZA JOSEPH
6,242,KABULETA KIIZA JOSEPH
5,453,KABULETA KIIZA JOSEPH
6,264,KABULETA KIIZA JOSEPH
1,113,KABULETA KIIZA JOSEPH
1,113,KABULETA KIIZA JOSEPH
8,627,KABULETA KIIZA JOSEPH
0,544,KABULETA KIIZA JOSEPH
2,984,KABULETA KIIZA JOSEPH
5,798,KABULETA KIIZA JOSEPH
0,258,KABULETA KIIZA JOSEPH
2,1306,KABULETA KIIZA JOSEPH
1,505,KABULETA KIIZA JOSEPH
0,484,KABULETA KIIZA JOSEPH
0,302,KABULETA KIIZA JOSEPH
8,4004,KABULETA KIIZA JOSEPH
3,2649,KABULETA KIIZA JOSEPH
0,2061,KABULETA KIIZA JOSEPH
0,330,KABULETA KIIZA JOSEPH
2,385,KABULETA KIIZA JOSEPH
1,384,KABULETA KIIZA JOSEPH
0,527,KABULETA KIIZA JOSEPH
1,528,KABULETA KIIZA JOSEPH
1,513,KABULETA KIIZA JOSEPH
0,570,KABULETA KIIZA JOSEPH
1,477,KABULETA KIIZA JOSEPH
0,868,KABULETA KIIZA JOSEPH
1,377,KABULETA KIIZA JOSEPH
3,1355,KABULETA KIIZA JOSEPH
4,317,KABULETA KIIZA JOSEPH
2,266,KABULETA KIIZA JOSEPH
2,266,KABULETA KIIZA JOSEPH
7,2814,KABULETA KIIZA JOSEPH
6,1070,KABULETA KIIZA JOSEPH
10,1020,KABULETA KIIZA JOSEPH
5,1523,KABULETA KIIZA JOSEPH
1,349,KABULETA KIIZA JOSEPH
7,628,KABULETA KIIZA JOSEPH
104,3402,KABULETA KIIZA JOSEPH
1,1763,KABULETA KIIZA JOSEPH
0,3456,KABULETA KIIZA JOSEPH
8,5517,KABULETA KIIZA JOSEPH
5,1437,KABULETA KIIZA JOSEPH
1,456,KABULETA KIIZA JOSEPH
11,5197,KABULETA KIIZA JOSEPH
1,428,KABULETA KIIZA JOSEPH
0,400,KABULETA KIIZA JOSEPH
0,446,KABULETA KIIZA JOSEPH
0,1068,KABULETA KIIZA JOSEPH
2,462,KABULETA KIIZA JOSEPH
2,481,KABULETA KIIZA JOSEPH
1,531,KABULETA KIIZA JOSEPH
3,550,KABULETA KIIZA JOSEPH
1,393,KABULETA KIIZA JOSEPH
0,301,KABULETA KIIZA JOSEPH
2,1058,KABULETA KIIZA JOSEPH
