Constituency,Name,Political Party,Votes,ID
BUNYOLE WEST COUNTY,MUTIWA  GEOFREY  ERIC,NRM,16384,50
BUNYOLE WEST COUNTY,WALUSWAKA  JAMES,INDEPENDENT,11608,50
BUNYOLE WEST COUNTY,WANGOLO  JACOB,INDEPENDENT,4326,50
BUNYOLE WEST COUNTY,LYADA  MOSES,NUP,647,50
BUNYOLE WEST COUNTY,BATALA  CYPRIAN,INDEPENDENT,606,50
BUNYOLE WEST COUNTY,HYABENE  JAMES,INDEPENDENT,222,50
BUNYOLE WEST COUNTY,WABWEYO  SHEPHATIAH AGUMIRA,INDEPENDENT,97,50
BUTAMBALA COUNTY,MUWANGA  KIVUMBI MUHAMMAD,NUP,24070,51
BUTAMBALA COUNTY,BAVEKUNO  GODFREY KYESWA,NRM,12040,51
BUTAMBALA COUNTY,MUTEBI  MAHDI MUSOKE,INDEPENDENT,295,51
BUTAMBALA COUNTY,MULINDWA  SULAIMAN,INDEPENDENT,228,51
BUTAMBALA COUNTY,MUNKABIRA  DAUDA NSONZI,DP,189,51
BUTAMBALA COUNTY,SSEMPIJJA  FRSANCIS,FDC,144,51
BUTEBO COUNTY,MUTONO  PATRICK LODOI,NRM,16747,52
BUTEBO COUNTY,MUDUKOI  FRED ODUCHU,INDEPENDENT,12956,52
BUTEBO COUNTY,NABYATA  ABASS,INDEPENDENT,3075,52
BUTEBO COUNTY,KEDDI  STEVEN ERIC,INDEPENDENT,1497,52
BUTEBO COUNTY,ZAID  ZIWA,NUP,841,52
BUTEBO COUNTY,SAMUKA  PAUL,FDC,204,52
BUVUMA ISLANDS COUNTY,MIGADDE  ROBERT NDUGWA,NRM,12151,53
BUVUMA ISLANDS COUNTY,SSEMBAJJWE  PAUL,DP,5181,53
BUVUMA ISLANDS COUNTY,MPALANYI  VINCENT,NUP,2486,53
BUVUMA ISLANDS COUNTY,ZIRYAWULA  INNOCENT,INDEPENDENT,1471,53
BUDIOPE EAST COUNTY,MAGOGO  MOSES HASSIM,NRM,27675,54
BUDIOPE EAST COUNTY,DHAMUZUNGU  GEOFREY,INDEPENDENT,12508,54
BUDIOPE EAST COUNTY,MWAKA  MUHAMMED,NUP,850,54
BUDIOPE EAST COUNTY,TAKOZEKIBI  DAVID GEOFREY,INDEPENDENT,653,54
BUDIOPE EAST COUNTY,NGOBI  AGGREY BYANSI,INDEPENDENT,316,54
BUDIOPE WEST COUNTY,KYOTO  IBRAHIM MULULI,NRM,14887,54
BUDIOPE WEST COUNTY,MUBITO  JOHN BOSCO,INDEPENDENT,13393,54
BUDIOPE WEST COUNTY,MUSOKE  ROBERT,INDEPENDENT,6697,54
BUDIOPE WEST COUNTY,WAKABI  DOMINIC,FDC,2951,54
BUDIOPE WEST COUNTY,MUYIGI  DANIEL,NUP,1166,54
BUDIOPE WEST COUNTY,TALIGOOLA  EMMANUEL,INDEPENDENT,647,54
BUDIOPE WEST COUNTY,GALIKUWA  MOSES KIMEZE,ANT,96,54
DOKOLO NORTH COUNTY,OGWAL  MOSES GOLI,NRM,11428,55
DOKOLO NORTH COUNTY,AMORU  PAUL,INDEPENDENT,11180,55
DOKOLO NORTH COUNTY,OKELLO-OKELLO  JOHN BAPTIST,FDC,6173,55
DOKOLO NORTH COUNTY,OJOK  FRANCIS,UPC,4388,55
DOKOLO NORTH COUNTY,ORECH  CHRISTOPHER,INDEPENDENT,396,55
DOKOLO NORTH COUNTY,AKEJO  BOB MIKE,INDEPENDENT,203,55
DOKOLO SOUTH COUNTY,OKOT OGONG  FELIX,NRM,13285,55
DOKOLO SOUTH COUNTY,OPITO  VINCENT,FDC,11631,55
DOKOLO SOUTH COUNTY,OCEN  AMBROSE,NUP,706,55
FORT PORTAL CENTRAL DIVISION,RUHUNDA  ALEX,NRM,11019,56
FORT PORTAL CENTRAL DIVISION,AJUNA  DAKA JOSEPH,FDC,8190,56
FORT PORTAL CENTRAL DIVISION,AMANYIRE  TADEO,INDEPENDENT,563,56
FORT PORTAL CENTRAL DIVISION,RWABAKAMA  MOSES ISINGOMA,INDEPENDENT,201,56
FORT PORTAL CENTRAL DIVISION,BINGI  ALOYSIUS,INDEPENDENT,163,56
FORT PORTAL CENTRAL DIVISION,KALYEBARA  RONALD,ANT,47,56
FORT PORTAL NORTH DIVISION,MUGISA  MARGARET MUHANGA,NRM,7911,57
FORT PORTAL NORTH DIVISION,RUHUNDWA  SOLOMON,INDEPENDENT,7820,57
FORT PORTAL NORTH DIVISION,MUHUMUZA  FRANK BANKS,INDEPENDENT,276,57
FORT PORTAL NORTH DIVISION,KAZOOBA  DAVID GUMA,INDEPENDENT,222,57
FORT PORTAL NORTH DIVISION,ATUHAIRE  JACQUELINE,ANT,158,57
GOMBA EAST COUNTY,SAAZI  GODFREY,NUP,17097,58
GOMBA EAST COUNTY,KALULE  SSENGO EMMANUEL,NRM,7177,58
GOMBA EAST COUNTY,NAKAYIZA  JUSTINE,INDEPENDENT,247,58
GOMBA EAST COUNTY,KYAGABA  CHARLES,DP,208,58
GOMBA EAST COUNTY,IGA  SIMON,INDEPENDENT,177,58
GOMBA WEST COUNTY,RWAKOOJO  ROBINA GUREME,NRM,14007,58
GOMBA WEST COUNTY,LUKWAGO  GONZAGA,NUP,6407,58
GOMBA WEST COUNTY,KAGGWA  WILBERFORCE,INDEPENDENT,5426,58
GOMBA WEST COUNTY,KAKOOZA  ASADU,INDEPENDENT,3558,58
ASWA COUNTY,WOKORACH  SIMON PETER,NRM,6392,59
ASWA COUNTY,OKELLO  PATRICK ONGUTI,DP,5855,59
ASWA COUNTY,KINYERA  CHRISTOPHER,INDEPENDENT,3736,59
ASWA COUNTY,OKUMU  RONALD REAGAN,FDC,2345,59
ASWA COUNTY,ODONG  GEOFFREY,INDEPENDENT,632,59
ASWA COUNTY,RAY  OTTI,INDEPENDENT,324,59
ASWA COUNTY,NYEKO FRANCO  P KAMACH,INDEPENDENT,286,59
ASWA COUNTY,OKOT  ALFRED OCHEN,INDEPENDENT,270,59
ASWA COUNTY,OTORI  KINYERA AGGREY,INDEPENDENT,267,59
ASWA COUNTY,ODOCH  KENNETH KRAVITZ,INDEPENDENT,190,59
BARDEGE-LAYIBI DIVISION,OJARA  MARTIN MAPENDUZI,INDEPENDENT,6503,60
BARDEGE-LAYIBI DIVISION,KOMAKECH  LYANDRO,DP,4006,60
BARDEGE-LAYIBI DIVISION,KITARA  TONNY,INDEPENDENT,1859,60
BARDEGE-LAYIBI DIVISION,OLAL  ROY ROBERT,NRM,1047,60
BARDEGE-LAYIBI DIVISION,JAKICA  MUNGU BRIAN,NUP,449,60
BARDEGE-LAYIBI DIVISION,OYAT  CHAGGA WILSON,FDC,408,60
BARDEGE-LAYIBI DIVISION,OBOMA  THOMAS OKOT,INDEPENDENT,273,60
BARDEGE-LAYIBI DIVISION,OMONA  ALEX,INDEPENDENT,109,60
LAROO-PECE DIVISION,ONEN  CHARLES,INDEPENDENT,6633,61
LAROO-PECE DIVISION,ATIMANGO  NANCY,NRM,4220,61
LAROO-PECE DIVISION,LUBANGAKENE  CAESER,NUP,2557,61
LAROO-PECE DIVISION,KOMAKECH  GEOFFREY,FDC,1619,61
LAROO-PECE DIVISION,MWAKA  EMMANUEL LUTUKUMOI,INDEPENDENT,1098,61
LAROO-PECE DIVISION,OTIM  MICHAEL,INDEPENDENT,732,61
LAROO-PECE DIVISION,OPOKA  SIMON,DP,698,61
LAROO-PECE DIVISION,OOLA  SIMON PETER,INDEPENDENT,318,61
LAROO-PECE DIVISION,OKIDI  CHRISTOPHER,INDEPENDENT,286,61
LAROO-PECE DIVISION,UHURU  JOHN BOSCO,INDEPENDENT,239,61
LAROO-PECE DIVISION,ADONGAKULU  ROBERT,ANT,133,61
LAROO-PECE DIVISION,LURUM  GEORGE MWA,INDEPENDENT,65,61
LAROO-PECE DIVISION,ODOKONYERO  CHARLES,INDEPENDENT,36,61
BUGAHYA COUNTY,WAKABI PIUS,NRM,,62
KIGOROBYA COUNTY,KARUBANGA  DAVID,NRM,9633,63
KIGOROBYA COUNTY,KASIGWA  GERALD BIHEMAISO,INDEPENDENT,7740,63
KIGOROBYA COUNTY,AGABA  RICHARD,NUP,462,63
KIGOROBYA COUNTY,MUTAGWA  MOSES BYAHUKA,INDEPENDENT,213,63
HOIMA EAST DIVISION,ISINGOMA  PATRICK MWESIGWA,INDEPENDENT,9097,64
HOIMA EAST DIVISION,ASIIMWE  JONARD,NRM,3888,64
HOIMA EAST DIVISION,AGUUDA  MOSES,NUP,1550,64
HOIMA EAST DIVISION,MPABAISI  DOREEN ALITUHA,INDEPENDENT,900,64
HOIMA EAST DIVISION,RWAMITI  APUULI,FDC,149,64
HOIMA WEST DIVISION,RUYONGA  JOSEPH,NRM,6369,64
HOIMA WEST DIVISION,KASULE  ISMAIL,ANT,6212,64
HOIMA WEST DIVISION,TUMUSIIME  RONALD,INDEPENDENT,5075,64
HOIMA WEST DIVISION,BYAKAGABA  SHEM,INDEPENDENT,1681,64
HOIMA WEST DIVISION,BEERAHERU  GEOFFREY,INDEPENDENT,426,64
IBANDA COUNTY NORTH,KYOOMA  XAVIER AKAMPURIRA,NRM,13513,65
IBANDA COUNTY NORTH,GUMA  GUMISIRIZA DAVID,INDEPENDENT,13186,65
IBANDA COUNTY NORTH,MUGISHA  GILBERT KAREBGYE,INDEPENDENT,165,65
IBANDA COUNTY NORTH,SEMAKURA  JIBRIL,INDEPENDENT,142,65
IBANDA COUNTY SOUTH,NINKUSIIMA  JOHN PAUL,NRM,21837,65
IBANDA COUNTY SOUTH,KAMUGISHA  EMMANUEL RWAKYENDERA,INDEPENDENT,5370,65
IBANDA COUNTY SOUTH,BYAMUGISHA  MOSES,FDC,224,65
IBANDA COUNTY SOUTH,AHAISIBWE  PHILMON,DP,81,65
IBANDA MUNICIPALITY,RWABURINDORE  TARSIS BISHANGA,NRM,16038,66
IBANDA MUNICIPALITY,AGABA  PETER,INDEPENDENT,15682,66
IBANDA MUNICIPALITY,MWINE  INNOCENT BAKAMUHARA,INDEPENDENT,1298,66
IBANDA MUNICIPALITY,AGABA  NATHAN,ANT,268,66
IBANDA MUNICIPALITY,MUHIMBISE  ENOCK DECAPRIO,INDEPENDENT,262,66
IBANDA MUNICIPALITY,MUGANDA  KALIMU,FDC,229,66
IGANGA MUNICIPALITY,MUGEMA  PETER,INDEPENDENT,6621,66
IGANGA MUNICIPALITY,MUDIOBOLE  ABED NASSER,FDC,6512,66
IGANGA MUNICIPALITY,ABDULRAHIM  TOTO ALI BAWAZIR,NRM,4461,66
IGANGA MUNICIPALITY,MUGANGA  FRANCIS,NUP,2935,66
IGANGA MUNICIPALITY,NGOBI  JUMA,INDEPENDENT,686,66
IGANGA MUNICIPALITY,WAISWA  DENIS,INDEPENDENT,670,66
IGANGA MUNICIPALITY,NAIGUBYA  THOMAS MUKWENDA,INDEPENDENT,56,66
IGANGA MUNICIPALITY,KAMBALAGE  KARTER KINGSTONE,DP,9,66
KIGULU COUNTY NORTH,KYAKULAGA  FRED BWINO,NRM,14560,67
KIGULU COUNTY NORTH,BADOGI  ISMAIL WAGUMA,INDEPENDENT,14154,67
KIGULU COUNTY NORTH,NAIGAGA  SHEILLA,INDEPENDENT,3025,67
KIGULU COUNTY NORTH,LUGWIRE  ERISA,NUP,2522,67
KIGULU COUNTY NORTH,ISABIRYE  GRACE,INDEPENDENT,1805,67
KIGULU COUNTY NORTH,BATEMA  JAMES,JEEMA,987,67
KIGULU COUNTY NORTH,ISABIRYE  ROBERT,INDEPENDENT,368,67
KIGULU COUNTY NORTH,MUKEMBO  ROGERS,INDEPENDENT,135,67
KIGULU COUNTY NORTH,DIMILA  MICHEAL,INDEPENDENT,125,67
KIGULU COUNTY NORTH,OBBO  TITUS,FDC,99,67
KIGULU COUNTY NORTH,KISA  DEBORAH,DP,87,67
KIGULU COUNTY NORTH,NGOBI  GEOFREY,INDEPENDENT,51,67
KIGULU COUNTY NORTH,MUKAKANYA  DEREK,INDEPENDENT,40,67
KIGULU COUNTY NORTH,KALIMULISO  GRACE,INDEPENDENT,37,67
KIGULU COUNTY SOUTH,MUWUMA  MILTON KALULU,NRM,9424,67
KIGULU COUNTY SOUTH,KAYEMBA  PATRICK,INDEPENDENT,7550,67
KIGULU COUNTY SOUTH,KALUYA  ANDREW KIIZA NAMITEGO,INDEPENDENT,6547,67
KIGULU COUNTY SOUTH,MUKISA  ROGERS,NUP,3356,67
KIGULU COUNTY SOUTH,WAISWA  IAN,INDEPENDENT,1803,67
KIGULU COUNTY SOUTH,BAYOGERA  BRENDA,INDEPENDENT,1536,67
KIGULU COUNTY SOUTH,KYAIRALA  ASUMAN,INDEPENDENT,1361,67
KIGULU COUNTY SOUTH,KAGYERERO  RONALD,INDEPENDENT,1305,67
KIGULU COUNTY SOUTH,MUTANDA  FAHAM,INDEPENDENT,936,67
KIGULU COUNTY SOUTH,MUGOYA  EMMANUEL,INDEPENDENT,570,67
KIGULU COUNTY SOUTH,KINYIRI  SALIM,INDEPENDENT,427,67
KIGULU COUNTY SOUTH,BULAGALA  MUSA KARIMU,FDC,252,67
KIGULU COUNTY SOUTH,KIBWIKA-MUYINDA  ALLIE BASSEY,ANT,213,67
KIGULU COUNTY SOUTH,MUSUBO  GODFREY,INDEPENDENT,103,67
BUKANGA COUNTY,KANGWAGYE  STEPHEN RWAKANUMA,INDEPENDENT,18406,68
BUKANGA COUNTY,MPEIRWE  MOSES KASHAIJA,INDEPENDENT,7401,68
BUKANGA COUNTY,TURIYO  TITO,FDC,189,68
BUKANGA COUNTY,ASIIMWE  BENFRED,ANT,169,68
BUKANGA COUNTY,DDEMBE  SHAFFIC SSIMBWA,NUP,74,68
BUKANGA COUNTY,MURANGIRA  SADDAM,DP,47,68
BUKANGA NORTH COUNTY,BYANYIMA  NATHAN,NRM,34229,69
BUKANGA NORTH COUNTY,KAMURALI  JEREMIAH BIRUNGI,INDEPENDENT,12067,69
ISINGIRO COUNTY NORTH,RWAMIRAMA  BRIGHT KANYONTORE,NRM,49066,70
ISINGIRO COUNTY NORTH,ATUHAIRWE  NICHOLAS,FDC,2823,70
ISINGIRO COUNTY NORTH,AYEBARE  PROSSY,INDEPENDENT,2641,70
ISINGIRO COUNTY NORTH,RUTAHWAIRE  ANTHONY,ANT,1365,70
ISINGIRO COUNTY NORTH,TWEBAZE  KENETH,INDEPENDENT,1048,70
ISINGIRO COUNTY NORTH,TUBUHABURWA  JIM,NUP,956,70
ISINGIRO COUNTY NORTH,MUKUNDANE  COLLINS,INDEPENDENT,826,70
ISINGIRO COUNTY SOUTH,BYARUGABA  ALEX BAKUNDA,NRM,13410,70
ISINGIRO COUNTY SOUTH,MUGABE  GILBERT RWABAMBARI,INDEPENDENT,11582,70
ISINGIRO COUNTY SOUTH,AKANKWATSA  ALLAN MATEEKA,INDEPENDENT,1644,70
ISINGIRO COUNTY SOUTH,KANYESIGYE  ENOS,FDC,145,70
ISINGIRO COUNTY SOUTH,MUJUNI  EXAVIER,ANT,85,70
ISINGIRO WEST COUNTY,ARINAITWE  RAUBEN,INDEPENDENT,7992,70
ISINGIRO WEST COUNTY,TUMWESIGYE  ANTHONY,NRM,7975,70
ISINGIRO WEST COUNTY,BYAMUGISHA  EMMANUEL RWABISHARI,INDEPENDENT,3741,70
ISINGIRO WEST COUNTY,AGIRESAASI  APOPHIA,INDEPENDENT,262,70
BUTEMBE COUNTY,ZIJJAN  DAVID LIVINGSTONE,INDEPENDENT,5818,71
BUTEMBE COUNTY,KABONDO  JACOB,NRM,5782,71
BUTEMBE COUNTY,KIIRYA  GRACE WANZALA,FDC,5719,71
BUTEMBE COUNTY,NNATABI  MARIA LEDOCHOWSKA,NUP,2502,71
BUTEMBE COUNTY,OROMA  GEORGE WILLIAM,INDEPENDENT,260,71
BUTEMBE COUNTY,KAGOYA  MARY,ANT,166,71
BUTEMBE COUNTY,MUWANIKA  KENNETH MUKULU,INDEPENDENT,118,71
BUTEMBE COUNTY,KYOMYA  JAMES,INDEPENDENT,103,71
KAGOMA COUNTY,WALYOMU  MUWANIKA MOSES,INDEPENDENT,7948,72
KAGOMA COUNTY,MUNYIRWA  FREDERICK,NRM,5048,72
KAGOMA COUNTY,KISAMBIRA  TITUS MUTANDA,INDEPENDENT,846,72
KAGOMA COUNTY,HALANGO  MICHEAL,NUP,829,72
KAGOMA COUNTY,MAKOOMA  EMMANUEL,FDC,608,72
KAGOMA COUNTY,KAZIBWE  GRACE,INDEPENDENT,121,72
KAGOMA NORTH COUNTY,KINTU  ALEX BRANDON,NRM,15564,73
KAGOMA NORTH COUNTY,BUDHUGO  ISA,FDC,5977,73
KAGOMA NORTH COUNTY,MUGEREZA  HUZAIFA AYASSY,NUP,4378,73
KAGOMA NORTH COUNTY,KATUFU  CHRISTOPHER,INDEPENDENT,749,73
KAGOMA NORTH COUNTY,MUGAWE  JACKSON,INDEPENDENT,225,73
KAGOMA NORTH COUNTY,MUKAMA  VINCENT,INDEPENDENT,179,73
KAGOMA NORTH COUNTY,NAMUKASA  ERIVAID JOSEPHINE,INDEPENDENT,145,73
JINJA NORTH DIVISION,ISABIRYE  DAVID  AGA,FDC,13388,74
JINJA NORTH DIVISION,BIDONDOLE  MOHAMMED BISMARCK,NRM,9564,74
JINJA NORTH DIVISION,LUFAFA  NELSON,INDEPENDENT,6958,74
JINJA NORTH DIVISION,NANGA  RAMADHAN,NUP,6530,74
JINJA NORTH DIVISION,NAGAYA  ABDULHAFIDH,INDEPENDENT,4143,74
JINJA NORTH DIVISION,KAWUMA  REBECCA,INDEPENDENT,960,74
JINJA NORTH DIVISION,BAMULOZE  ROBERT KANIGURE,INDEPENDENT,547,74
JINJA NORTH DIVISION,KIWAGAMA  PETER,INDEPENDENT,528,74
JINJA NORTH DIVISION,BAKALIKWIRA  ERIC PHILIP,INDEPENDENT,402,74
JINJA NORTH DIVISION,KAWANGUZI  MOSES EMMANUEL,INDEPENDENT,194,74
JINJA NORTH DIVISION,KYEMBA  MOSES HANNINGTON,DP,184,74
JINJA NORTH DIVISION,DASHI  YAHAYA,ANT,167,74
JINJA NORTH DIVISION,GULUDDENE  NASSER TIBEKANA,INDEPENDENT,154,74
JINJA NORTH DIVISION,MUYINDA  ROBERT DHATEMWA,INDEPENDENT,144,74
JINJA NORTH DIVISION,LUKALU  CAESAR,INDEPENDENT,136,74
JINJA NORTH DIVISION,MIYINGO  WILFRED,INDEPENDENT,133,74
JINJA NORTH DIVISION,MULYAMBUZI  RONNIE ANDREW,INDEPENDENT,125,74
JINJA SOUTH DIVISION EAST,IGEME  NATHAN NABETA SAMSON,NRM,5817,75
JINJA SOUTH DIVISION EAST,MWIRU  PAUL,ANT,5580,75
JINJA SOUTH DIVISION EAST,NAKAKANDE  ZAMZAM,INDEPENDENT,1283,75
JINJA SOUTH DIVISION EAST,MUGAYA  PAUL GERALDSON,NUP,769,75
JINJA SOUTH DIVISION EAST,BATAMBUZE  MAJID,INDEPENDENT,501,75
JINJA SOUTH DIVISION EAST,WANSALALA  EMMANUEL NUME,FDC,390,75
JINJA SOUTH DIVISION EAST,NGOBI  THOMAS,INDEPENDENT,50,75
JINJA SOUTH DIVISION EAST,NAMAKIKA  SOPHIA,INDEPENDENT,12,75
JINJA SOUTH DIVISION EAST,NTALE  ANDREW,DP,10,75
JINJA SOUTH DIVISION WEST,BATUWA  TIMOTHY LUSALA,FDC,4801,75
JINJA SOUTH DIVISION WEST,BALYEKU  MOSES GRACE,NRM,3102,75
JINJA SOUTH DIVISION WEST,WAISWA  ALEX MUFUMBIRO,NUP,1964,75
JINJA SOUTH DIVISION WEST,KEZAALA  NAJIB,INDEPENDENT,251,75
JINJA SOUTH DIVISION WEST,BASAKANA  HANNIGTON,ANT,250,75
JINJA SOUTH DIVISION WEST,ISIKO  CLARE IVAN,INDEPENDENT,162,75
JINJA SOUTH DIVISION WEST,IGA  IBRAHIM OMAIDU,INDEPENDENT,68,75
JINJA SOUTH DIVISION WEST,MUTESA  GEOFREY,DP,51,75
JINJA SOUTH DIVISION WEST,NAMADDU  LAZARUS,INDEPENDENT,50,75
DODOTH EAST COUNTY,KOMOL  EMMANUEL,INDEPENDENT,7903,76
DODOTH EAST COUNTY,LOKERIS  SAMSON,NRM,7892,76
DODOTH EAST COUNTY,ADIR  CHARLES,FDC,149,76
DODOTH EAST COUNTY,ABUKU  MARK SAGAL LOWANY,INDEPENDENT,127,76
DODOTH NORTH COUNTY,KOMOL JOSEPH MIIDI,NRM,8780,76
DODOTH NORTH COUNTY,MODO AUGUSTINE,INDEPENDENT,4013,76
IK COUNTY,LOKWANG HILLARY,NRM,,77
KABALE MUNICIPALITY,KAMARA  NICHOLAS THADEUS,FDC,6399,78
KABALE MUNICIPALITY,BARYAYANGA  ANDREW AJA,INDEPENDENT,5763,78
KABALE MUNICIPALITY,KAMUGISHA  KASSIM,NRM,3301,78
KABALE MUNICIPALITY,RUBASHA  BOB,INDEPENDENT,558,78
KABALE MUNICIPALITY,KYARIMPA  HENRY,INDEPENDENT,252,78
KABALE MUNICIPALITY,NAHABWE  VIOLA,INDEPENDENT,54,78
KABALE MUNICIPALITY,OGABA  DENIS NAHABWE,INDEPENDENT,24,78
NDORWA COUNTY EAST,NIWAGABA  WILFRED,INDEPENDENT,15962,79
NDORWA COUNTY EAST,BEGUMISA  PROTAZIO,NRM,15826,79
NDORWA COUNTY EAST,ANKUNDA  GRACE BWESIGYE,INDEPENDENT,2765,79
NDORWA COUNTY EAST,ANSINGUZA  ADRINE,INDEPENDENT,104,79
NDORWA COUNTY WEST,BAHATI  DAVID,NRM,28909,80
NDORWA COUNTY WEST,NINSIIMA  IMMACULATE TRACY,INDEPENDENT,3796,80
NDORWA COUNTY WEST,AGABA  SIMON RICHARDS,INDEPENDENT,2079,80
NDORWA COUNTY WEST,MPIRIIRWE  SIMPSON MUBANGIZI,INDEPENDENT,1373,80
NDORWA COUNTY WEST,MATSIKO  GILBERT,INDEPENDENT,1132,80
NDORWA COUNTY WEST,NZAAANA  GEOFREY MPIRIIRWE,FDC,431,80
NDORWA COUNTY WEST,ASIIMWE  RONALD,INDEPENDENT,194,80
NDORWA COUNTY WEST,ATUHEIRE  SAMUEL,ANT,43,80
BURAHYA COUNTY,KASAIJA  STEPHEN KAGWERA,NRM,32894,81
BURAHYA COUNTY,MWANGUHYA  CHARLES,INDEPENDENT,17081,81
BURAHYA COUNTY,VIOLET  MUGISA,INDEPENDENT,4419,81
BURAHYA COUNTY,MUGANZI  CHARLES,INDEPENDENT,4040,81
BURAHYA COUNTY,KIMOME  RUBEN ARAALI,INDEPENDENT,2679,81
BURAHYA COUNTY,ARIYO  ISAAC,FDC,1067,81
BURAHYA COUNTY,MUHUMUZA  FRANK,INDEPENDENT,648,81
KABERAMAIDO COUNTY,EDAKASI  ALFRED ELALU- OLALE,NRM,13012,82
KABERAMAIDO COUNTY,EWALU  GABRIEL,INDEPENDENT,3445,82
KABERAMAIDO COUNTY,EPAKU  ISAAC LEE,UPC,2495,82
KABERAMAIDO COUNTY,EDYAU  PAUL,INDEPENDENT,682,82
KABERAMAIDO COUNTY,EDECHU  SAMUEL,FDC,364,82
OCHERO COUNTY,EMIGU  JULIUS PETER,FDC,4742,83
OCHERO COUNTY,ISALA ERAGU  VERONICA BICHETERO,NRM,4284,83
OCHERO COUNTY,EREMU  JOHN PAUL,INDEPENDENT,3553,83
OCHERO COUNTY,ERESU  ELYANU JOHN,INDEPENDENT,553,83
OCHERO COUNTY,OKELLO  MATHEW,INDEPENDENT,366,83
BUYAGA EAST COUNTY,MUSANA  ERIC,INDEPENDENT,26239,84
BUYAGA EAST COUNTY,TWESIGE  STEPHEN,NRM,24067,84
BUYAGA EAST COUNTY,ASINGWIRE  BRIAN,NUP,633,84
BUYAGA WEST COUNTY,TINKASIIMIRE  BARNABAS,NRM,33030,84
BUYAGA WEST COUNTY,TUMWEBAZE  JOHN,INDEPENDENT,23986,84
BUYAGA WEST COUNTY,AMANYA  KABAKYENGA PETER,INDEPENDENT,2912,84
BUGANGAIZI EAST COUNTY,AGABA  AISA,NRM,17803,85
BUGANGAIZI EAST COUNTY,TWINAMASIKO  ONESIMUS,INDEPENDENT,15421,85
BUGANGAIZI EAST COUNTY,BWAMBALE  GODWIN,NUP,224,85
BUGANGAIZI EAST COUNTY,BAHATI  POLITO,INDEPENDENT,100,85
BUGANGAIZI EAST COUNTY,MUSINGUZI  ENOTH,INDEPENDENT,21,85
BUGANGAIZI SOUTH COUNTY,TUMWESIGYE  JOSEPHAT,NRM,12801,86
BUGANGAIZI SOUTH COUNTY,LUBEGA  GEORGE  WILLY,INDEPENDENT,12331,86
BUGANGAIZI SOUTH COUNTY,MBAZIIRA  LEONARD,NUP,1048,86
BUGANGAIZI WEST COUNTY,BYAMUKAMA  FRED,NRM,18879,86
BUGANGAIZI WEST COUNTY,KASIRIVU  ATWOOKI BALTAZAR  KYAMANYWA,INDEPENDENT,7660,86
BUGANGAIZI WEST COUNTY,KUSINGURA  ANNET,INDEPENDENT,862,86
KALAKI COUNTY,ONGALO-OBOTE  CLEMENT KENNETH,NRM,17906,87
KALAKI COUNTY,OPIO  DENNIS,INDEPENDENT,11939,87
KALAKI COUNTY,ELYAU  DENNIS ALFRED,FDC,4725,87
KALAKI COUNTY,OCHAN  THOMAS AYEI,DP,373,87
BUJUMBA COUNTY,MUKASA  JULIUS OPONDO,INDEPENDENT,4107,88
BUJUMBA COUNTY,BADDA  FRED,NRM,3413,88
BUJUMBA COUNTY,LUMAGA  LEON JOLL LWANGA,INDEPENDENT,1389,88
BUJUMBA COUNTY,LWANGA  KINTU FRED,NUP,1218,88
BUJUMBA COUNTY,KULAZIKULABE  ANDREW,FDC,26,88
KYAMUSWA COUNTY,KABUUSU  MOSES,FDC,3863,89
KYAMUSWA COUNTY,BIRUNGI  CAROLYN NANYONDO,NRM,3471,89
KYAMUSWA COUNTY,KAMBUGU  CYRUS,NUP,1099,89
KYAMUSWA COUNTY,MWESIGWA  JOHN,INDEPENDENT,549,89
BULAMOGI COUNTY,BWIIRE  SANON NADEEBA,NRM,18289,90
BULAMOGI COUNTY,BADEBYE  NAMWANZA DAN,INDEPENDENT,12690,90
BULAMOGI COUNTY,MUYANGA  SIMON LUTAAYA,FDC,11322,90
BULAMOGI COUNTY,LUBOGO  KENNETH,INDEPENDENT,5213,90
BULAMOGI COUNTY,WALYA  YONA,INDEPENDENT,1056,90
BULAMOGI COUNTY,BUYINZA  BENON,INDEPENDENT,294,90
BULAMOGI NORTH WEST COUNTY,GUME  FREDRICK NGOBI,NRM,10875,91
BULAMOGI NORTH WEST COUNTY,KASAJJA  GEORGE PATRICK,INDEPENDENT,9057,91
BULAMOGI NORTH WEST COUNTY,NSIMBI  MUZAMILU,NUP,158,91
BULAMOGI NORTH WEST COUNTY,KIIGE  YUSUFU,FDC,113,91
KALUNGU EAST COUNTY,KATABAAZI  FRANCIS KATONGOLE,NUP,12198,92
KALUNGU EAST COUNTY,SSEMPIJJA  VICENT FRERRIO BAMULANGAKI,NRM,10865,92
KALUNGU EAST COUNTY,LULE  UMAR MAWIYA,INDEPENDENT,6427,92
KALUNGU EAST COUNTY,MUGOOMA  DIDAS,INDEPENDENT,2304,92
KALUNGU WEST COUNTY,SSEWUNGU  JOSEPH GONZAGA,NUP,13696,92
KALUNGU WEST COUNTY,MUGAGGA  JOSEPH,NRM,7016,92
KALUNGU WEST COUNTY,KAKOOZA  MAHAD,INDEPENDENT,2253,92
KALUNGU WEST COUNTY,LUWUKYA  ALI LUSIBA,DP,479,92
KALUNGU WEST COUNTY,NTAMBAAZI  MARGRET NABAGGALA,INDEPENDENT,384,92
KALUNGU WEST COUNTY,MUGERWA  TIMOTHY,INDEPENDENT,187,92
