Constituency,Name,Political Party,Votes
BULAMOGI COUNTY,RWABURINDORE TARSIS,INDEPENDENT,280
BULAMOGI COUNTY,BISHANGA,INDEPENDENT,283
BULAMOGI NORTH WEST,AGABA PETER,INDEPENDENT,285
BULAMOGI NORTH WEST,MWINE INNOCENT,INDEPENDENT,286
BULAMOGI NORTH WEST,BAKAMUHARA,INDEPENDENT,286
BULAMOGI NORTH WEST,AGABA NATHAN,INDEPENDENT,286
BULIISA,MUHIMBISE ENOCK DECAPRIO,INDEPENDENT,286
BULIISA,MUGANDA KALIMU,INDEPENDENT,288
BULIISA COUNTY,MUGEMA PETER,INDEPENDENT,290
BULIISA COUNTY,MUDIOBOLE ABED NASSER,INDEPENDENT,290
BUNDIBUGYO,ABDULRAHIM TOTO ALI,INDEPENDENT,292
BUNDIBUGYO,BAWAZIR,INDEPENDENT,292
BUNDIBUGYO,MUGANGA FRANCIS,INDEPENDENT,293
BUNGOKHO CENTRAL,NGOBI JUMA,INDEPENDENT,293
BUNGOKHO CENTRAL,WAISWA DENIS,INDEPENDENT,294
BUNGOKHO CENTRAL,NAIGUBYA THOMAS,INDEPENDENT,294
BUNGOKHO CENTRAL,MUKWENDA,INDEPENDENT,295
BUNGOKHO CENTRAL,KAMBALAGE KARTER,INDEPENDENT,296
BUNGOKHO COUNTY NORTH,KINGSTONE,INDEPENDENT,297
BUNGOKHO COUNTY NORTH,KYAKULAGA FRED BWINO,INDEPENDENT,300
BUNGOKHO COUNTY NORTH,BADOGI ISMAIL WAGUMA,INDEPENDENT,300
BUNGOKHO COUNTY NORTH,NAIGAGA SHEILLA,INDEPENDENT,300
BUNGOKHO COUNTY NORTH,LUGWIRE ERISA,INDEPENDENT,300
BUNGOKHO COUNTY NORTH,ISABIRYE GRACE,INDEPENDENT,300
BUNGOKHO COUNTY NORTH,BATEMA JAMES,INDEPENDENT,300
BUNGOKHO COUNTY SOUTH,ISABIRYE ROBERT,INDEPENDENT,302
BUNGOKHO COUNTY SOUTH,MUKEMBO ROGERS,INDEPENDENT,303
BUNGOKHO COUNTY SOUTH,DIMILA MICHEAL,INDEPENDENT,304
BUNGOKHO COUNTY SOUTH,OBBO TITUS,INDEPENDENT,304
BUNGOKHO COUNTY SOUTH,KISA DEBORAH,INDEPENDENT,305
BUNYA COUNTY EAST,NGOBI GEOFREY,INDEPENDENT,306
BUNYA COUNTY EAST,MUKAKANYA DEREK,INDEPENDENT,306
BUNYA COUNTY EAST,KALIMULISO GRACE,INDEPENDENT,306
BUNYA COUNTY EAST,MUWUMA MILTON KALULU,INDEPENDENT,310
BUNYA COUNTY EAST,KAYEMBA PATRICK,INDEPENDENT,311
BUNYA COUNTY EAST,KALUYA ANDREW KIIZA,INDEPENDENT,313
BUNYA COUNTY EAST,NAMITEGO,INDEPENDENT,314
BUNYA COUNTY EAST,MUKISA ROGERS,INDEPENDENT,314
BUNYA COUNTY EAST,WAISWA IAN,INDEPENDENT,316
BUNYA COUNTY EAST,BAYOGERA BRENDA,INDEPENDENT,316
BUNYA COUNTY SOUTH,KYAIRALA ASUMAN,INDEPENDENT,317
BUNYA COUNTY SOUTH,KAGYERERO RONALD,INDEPENDENT,317
BUNYA COUNTY SOUTH,MUTANDA FAHAM,INDEPENDENT,318
BUNYA COUNTY SOUTH,MUGOYA EMMANUEL,INDEPENDENT,319
BUNYA COUNTY SOUTH,KINYIRI SALIM,INDEPENDENT,321
BUNYA COUNTY SOUTH,BULAGALA MUSA KARIMU,INDEPENDENT,321
BUNYA COUNTY SOUTH,KIBWIKA-MUYINDA ALLIE,INDEPENDENT,322
BUNYA COUNTY WEST,BASSEY,INDEPENDENT,323
BUNYA COUNTY WEST,MUSUBO GODFREY,INDEPENDENT,323
BUNYA COUNTY WEST,KANGWAGYE STEPHEN,INDEPENDENT,324
BUNYA COUNTY WEST,RWAKANUMA,INDEPENDENT,324
BUNYA COUNTY WEST,MPEIRWE MOSES KASHAIJA,INDEPENDENT,324
BUNYA COUNTY WEST,TURIYO TITO,INDEPENDENT,327
BUNYANGABU,ASIIMWE BENFRED,INDEPENDENT,328
BUNYANGABU,DDEMBE SHAFFIC SSIMBWA,INDEPENDENT,328
BUNYANGABU COUNTY,MURANGIRA SADDAM,INDEPENDENT,328
BUNYANGABU COUNTY,BYANYIMA NATHAN,INDEPENDENT,328
BUNYANGABU COUNTY,KAMURALI JEREMIAH BIRUNGI,INDEPENDENT,329
BUNYANGABU COUNTY,RWAMIRAMA BRIGHT,INDEPENDENT,331
BUNYANGABU COUNTY,KANYONTORE,INDEPENDENT,332
BUNYANGABU COUNTY,ATUHAIRWE NICHOLAS,INDEPENDENT,332
BUNYANGABU COUNTY,AYEBARE PROSSY,INDEPENDENT,332
BUNYANGABU COUNTY,RUTAHWAIRE ANTHONY,INDEPENDENT,333
BUNYANGABU COUNTY,TWEBAZE KENETH,INDEPENDENT,334
BUNYARUGURU COUNTY,TUBUHABURWA JIM,INDEPENDENT,335
BUNYARUGURU COUNTY,MUKUNDANE COLLINS,INDEPENDENT,335
BUNYARUGURU COUNTY,BYARUGABA ALEX BAKUNDA,INDEPENDENT,336
BUNYARUGURU COUNTY,MUGABE GILBERT,INDEPENDENT,338
BUNYARUGURU COUNTY,RWABAMBARI,INDEPENDENT,340
BUNYOLE EAST COUNTY,AKANKWATSA ALLAN,INDEPENDENT,343
BUNYOLE EAST COUNTY,MATEEKA,INDEPENDENT,343
BUNYOLE EAST COUNTY,KANYESIGYE ENOS,INDEPENDENT,345
BUNYOLE EAST COUNTY,MUJUNI EXAVIER,INDEPENDENT,346
BUNYOLE EAST COUNTY,ARINAITWE RAUBEN,INDEPENDENT,347
BUNYOLE EAST COUNTY,TUMWESIGYE ANTHONY,INDEPENDENT,348
BUNYOLE EAST COUNTY,BYAMUGISHA EMMANUEL,INDEPENDENT,348
BUNYOLE EAST COUNTY,RWABISHARI,INDEPENDENT,349
BUNYOLE WEST COUNTY,AGIRESAASI APOPHIA,INDEPENDENT,350
BUNYOLE WEST COUNTY,ZIJJAN DAVID LIVINGSTONE,INDEPENDENT,355
BUNYOLE WEST COUNTY,KABONDO JACOB,INDEPENDENT,358
BUNYOLE WEST COUNTY,KIIRYA GRACE WANZALA,INDEPENDENT,358
BUNYOLE WEST COUNTY,NNATABI MARIA,INDEPENDENT,358
BUNYOLE WEST COUNTY,LEDOCHOWSKA,INDEPENDENT,360
BUNYOLE WEST COUNTY,OROMA GEORGE WILLIAM,INDEPENDENT,360
BURAHYA COUNTY,KAGOYA MARY,INDEPENDENT,360
BURAHYA COUNTY,MUWANIKA KENNETH,INDEPENDENT,361
BURAHYA COUNTY,MUKULU,INDEPENDENT,362
BURAHYA COUNTY,KYOMYA JAMES,INDEPENDENT,362
BURAHYA COUNTY,WALYOMU MUWANIKA MOSES,INDEPENDENT,364
BURAHYA COUNTY,MUNYIRWA FREDERICK,INDEPENDENT,364
BURAHYA COUNTY,KISAMBIRA TITUS MUTANDA,INDEPENDENT,366
BURULI COUNTY,HALANGO MICHEAL,INDEPENDENT,368
BURULI COUNTY,MAKOOMA EMMANUEL,INDEPENDENT,368
BURULI COUNTY,KAZIBWE GRACE,INDEPENDENT,370
BURULI COUNTY,KINTU ALEX BRANDON,INDEPENDENT,373
BUSHENYI,BUDHUGO ISA,INDEPENDENT,373
BUSHENYI,MUGEREZA HUZAIFA AYASSY,INDEPENDENT,373
BUSHENYI,KATUFU CHRISTOPHER,INDEPENDENT,373
BUSHENYI,MUGAWE JACKSON,INDEPENDENT,374
BUSHENYI -ISHAKA,MUKAMA VINCENT,INDEPENDENT,375
BUSHENYI -ISHAKA,NAMUKASA ERIVAID,INDEPENDENT,375
BUSHENYI -ISHAKA,JOSEPHINE,INDEPENDENT,376
BUSHENYI -ISHAKA,ISABIRYE DAVID AGA,INDEPENDENT,376
BUSHENYI -ISHAKA,BIDONDOLE MOHAMMED,INDEPENDENT,376
BUSHENYI -ISHAKA,BISMARCK,INDEPENDENT,376
BUSHENYI -ISHAKA,LUFAFA NELSON,INDEPENDENT,376
BUSHIGAI COUNTY,NANGA RAMADHAN,INDEPENDENT,378
BUSHIGAI COUNTY,NAGAYA ABDULHAFIDH,INDEPENDENT,379
BUSHIGAI COUNTY,KAWUMA REBECCA,INDEPENDENT,381
BUSHIGAI COUNTY,BAMULOZE ROBERT,INDEPENDENT,382
BUSHIGAI COUNTY,KANIGURE,INDEPENDENT,383
BUSIA,KIWAGAMA PETER,INDEPENDENT,384
BUSIA,BAKALIKWIRA ERIC PHILIP,INDEPENDENT,384
BUSIA,KAWANGUZI MOSES,INDEPENDENT,384
BUSIA,EMMANUEL,INDEPENDENT,385
BUSIA,KYEMBA MOSES HANNINGTON,INDEPENDENT,386
BUSIA,DASHI YAHAYA,INDEPENDENT,386
BUSIA,GULUDDENE NASSER,INDEPENDENT,389
BUSIA,TIBEKANA,INDEPENDENT,389
BUSIA,MUYINDA ROBERT,INDEPENDENT,390
BUSIA MUNICIPALITY,DHATEMWA,INDEPENDENT,390
BUSIA MUNICIPALITY,LUKALU CAESAR,INDEPENDENT,390
BUSIA MUNICIPALITY,MIYINGO WILFRED,INDEPENDENT,391
BUSIA MUNICIPALITY,MULYAMBUZI RONNIE,INDEPENDENT,392
BUSIA MUNICIPALITY,ANDREW,INDEPENDENT,393
BUSIA MUNICIPALITY,IGEME NATHAN NABETA,INDEPENDENT,394
BUSIA MUNICIPALITY,SAMSON,INDEPENDENT,395
BUSIA MUNICIPALITY,MWIRU PAUL,INDEPENDENT,396
BUSIA MUNICIPALITY,NAKAKANDE ZAMZAM,INDEPENDENT,397
BUSIA MUNICIPALITY,MUGAYA PAUL GERALDSON,INDEPENDENT,397
BUSIA MUNICIPALITY,BATAMBUZE MAJID,INDEPENDENT,397
BUSIA MUNICIPALITY,WANSALALA EMMANUEL,INDEPENDENT,397
BUSIKI COUNTY,NUME,INDEPENDENT,398
BUSIKI COUNTY,NGOBI THOMAS,INDEPENDENT,400
BUSIKI COUNTY,NAMAKIKA SOPHIA,INDEPENDENT,401
BUSIKI COUNTY,NTALE ANDREW,INDEPENDENT,402
BUSIKI COUNTY,BATUWA TIMOTHY LUSALA,INDEPENDENT,404
BUSIKI COUNTY,BALYEKU MOSES GRACE,INDEPENDENT,406
BUSIKI COUNTY,WAISWA ALEX MUFUMBIRO,INDEPENDENT,407
BUSIKI COUNTY,KEZAALA NAJIB,INDEPENDENT,408
BUSIKI COUNTY,BASAKANA HANNIGTON,INDEPENDENT,408
BUSIKI NORTH COUNTY,ISIKO CLARE IVAN,INDEPENDENT,411
BUSIKI NORTH COUNTY,IGA IBRAHIM OMAIDU,INDEPENDENT,411
BUSIKI NORTH COUNTY,MUTESA GEOFREY,INDEPENDENT,412
BUSIKI NORTH COUNTY,NAMADDU LAZARUS,INDEPENDENT,413
BUSIKI NORTH COUNTY,KOMOL EMMANUEL,INDEPENDENT,414
BUSIKI NORTH COUNTY,LOKERIS SAMSON,INDEPENDENT,415
BUSIKI NORTH COUNTY,ADIR CHARLES,INDEPENDENT,415
BUSIKI NORTH COUNTY,ABUKU MARK SAGAL LOWANY,INDEPENDENT,415
BUSIKI NORTH COUNTY,KOMOL JOSEPH MIIDI,INDEPENDENT,417
BUSIKI NORTH COUNTY,MODO AUGUSTINE,INDEPENDENT,418
BUSIKI NORTH COUNTY,LOKWANG HILLARY,INDEPENDENT,419
BUSIRO COUNTY EAST,KAMARA NICHOLAS THADEUS,INDEPENDENT,422
BUSIRO COUNTY EAST,BARYAYANGA ANDREW AJA,INDEPENDENT,422
BUSIRO COUNTY EAST,KAMUGISHA KASSIM,INDEPENDENT,423
BUSIRO COUNTY EAST,RUBASHA BOB,INDEPENDENT,423
BUSIRO COUNTY EAST,KYARIMPA HENRY,INDEPENDENT,423
BUSIRO COUNTY EAST,NAHABWE VIOLA,INDEPENDENT,424
BUSIRO COUNTY EAST,OGABA DENIS NAHABWE,INDEPENDENT,426
BUSIRO COUNTY EAST,NIWAGABA WILFRED,INDEPENDENT,427
BUSIRO COUNTY EAST,BEGUMISA PROTAZIO,INDEPENDENT,427
BUSIRO COUNTY EAST,ANKUNDA GRACE BWESIGYE,INDEPENDENT,428
BUSIRO COUNTY NORTH,ANSINGUZA ADRINE,INDEPENDENT,430
BUSIRO COUNTY NORTH,BAHATI DAVID,INDEPENDENT,431
BUSIRO COUNTY NORTH,NINSIIMA IMMACULATE TRACY,INDEPENDENT,431
BUSIRO COUNTY NORTH,AGABA SIMON RICHARDS,INDEPENDENT,431
BUSIRO COUNTY NORTH,MPIRIIRWE SIMPSON,INDEPENDENT,432
BUSIRO COUNTY NORTH,MUBANGIZI,INDEPENDENT,432
BUSIRO COUNTY SOUTH,MATSIKO GILBERT,INDEPENDENT,438
BUSIRO COUNTY SOUTH,NZAAANA GEOFREY,INDEPENDENT,438
BUSIRO COUNTY SOUTH,MPIRIIRWE,INDEPENDENT,444
BUSIRO COUNTY SOUTH,ASIIMWE RONALD,INDEPENDENT,448
BUSIRO COUNTY SOUTH,ATUHEIRE SAMUEL,INDEPENDENT,449
BUSIRO COUNTY SOUTH,KASAIJA STEPHEN KAGWERA,INDEPENDENT,449
BUSIRO COUNTY SOUTH,MWANGUHYA CHARLES,INDEPENDENT,450
BUSIRO COUNTY SOUTH,VIOLET MUGISA,INDEPENDENT,450
BUSONGORA COUNTY NORTH,MUGANZI CHARLES,INDEPENDENT,452
BUSONGORA COUNTY NORTH,KIMOME RUBEN ARAALI,INDEPENDENT,453
BUSONGORA COUNTY NORTH,ARIYO ISAAC,INDEPENDENT,454
BUSONGORA COUNTY NORTH,MUHUMUZA FRANK,INDEPENDENT,455
BUSONGORA COUNTY NORTH,EDAKASI ALFRED ELALU-,INDEPENDENT,455
BUSONGORA COUNTY SOUTH,OLALE,INDEPENDENT,457
BUSONGORA COUNTY SOUTH,EWALU GABRIEL,INDEPENDENT,457
BUSONGORA COUNTY SOUTH,EPAKU ISAAC LEE,INDEPENDENT,458
BUSONGORA COUNTY SOUTH,EDYAU PAUL,INDEPENDENT,459
BUSONGORA COUNTY SOUTH,EDECHU SAMUEL,INDEPENDENT,460
BUSONGORA COUNTY SOUTH,EMIGU JULIUS PETER,INDEPENDENT,461
BUSONGORA COUNTY SOUTH,ISALA ERAGU VERONICA,INDEPENDENT,461
BUSONGORA COUNTY SOUTH,BICHETERO,INDEPENDENT,461
BUSONGORA COUNTY SOUTH,EREMU JOHN PAUL,INDEPENDENT,462
BUSONGORA COUNTY SOUTH,ERESU ELYANU JOHN,INDEPENDENT,463
BUSUJJU COUNTY,OKELLO MATHEW,INDEPENDENT,464
BUSUJJU COUNTY,MUSANA ERIC,INDEPENDENT,464
BUSUJJU COUNTY,TWESIGE STEPHEN,INDEPENDENT,464
BUSUJJU COUNTY,ASINGWIRE BRIAN,INDEPENDENT,467
BUTALEJA,TINKASIIMIRE BARNABAS,INDEPENDENT,468
BUTALEJA,TUMWEBAZE JOHN,INDEPENDENT,469
BUTALEJA,AMANYA KABAKYENGA PETER,INDEPENDENT,470
BUTALEJA,AGABA AISA,INDEPENDENT,470
BUTALEJA,TWINAMASIKO ONESIMUS,INDEPENDENT,473
BUTALEJA,BWAMBALE GODWIN,INDEPENDENT,473
BUTALEJA,BAHATI POLITO,INDEPENDENT,475
BUTALEJA,MUSINGUZI ENOTH,INDEPENDENT,476
BUTALEJA,TUMWESIGYE JOSEPHAT,INDEPENDENT,476
BUTAMBALA,LUBEGA GEORGE WILLY,INDEPENDENT,479
BUTAMBALA,MBAZIIRA LEONARD,INDEPENDENT,479
BUTAMBALA,BYAMUKAMA FRED,INDEPENDENT,482
BUTAMBALA,KASIRIVU ATWOOKI,INDEPENDENT,482
BUTAMBALA,BALTAZAR KYAMANYWA,INDEPENDENT,483
BUTAMBALA,KUSINGURA ANNET,INDEPENDENT,484
BUTAMBALA,ONGALO-OBOTE CLEMENT,INDEPENDENT,484
BUTAMBALA,KENNETH,INDEPENDENT,484
BUTAMBALA,OPIO DENNIS,INDEPENDENT,486
BUTAMBALA,ELYAU DENNIS ALFRED,INDEPENDENT,487
BUTAMBALA,OCHAN THOMAS AYEI,INDEPENDENT,487
BUTAMBALA,MUKASA JULIUS OPONDO,INDEPENDENT,488
BUTAMBALA,BADDA FRED,INDEPENDENT,489
BUTAMBALA,LUMAGA LEON JOLL LWANGA,INDEPENDENT,490
BUTAMBALA,LWANGA KINTU FRED,INDEPENDENT,491
BUTAMBALA,KULAZIKULABE ANDREW,INDEPENDENT,491
BUTAMBALA,KABUUSU MOSES,INDEPENDENT,491
BUTAMBALA,BIRUNGI CAROLYN,INDEPENDENT,492
BUTAMBALA,NANYONDO,INDEPENDENT,495
BUTAMBALA,KAMBUGU CYRUS,INDEPENDENT,496
BUTAMBALA,MWESIGWA JOHN,INDEPENDENT,500
BUTAMBALA,BWIIRE SANON NADEEBA,INDEPENDENT,501
BUTAMBALA,BADEBYE NAMWANZA DAN,INDEPENDENT,501
BUTAMBALA,MUYANGA SIMON LUTAAYA,INDEPENDENT,501
BUTAMBALA,LUBOGO KENNETH,INDEPENDENT,503
BUTAMBALA,WALYA YONA,INDEPENDENT,508
BUTAMBALA,BUYINZA BENON,INDEPENDENT,509
BUTAMBALA,GUME FREDRICK NGOBI,INDEPENDENT,509
BUTAMBALA,,INDEPENDENT,511
BUTAMBALA,KASAJJA GEORGE PATRICK,INDEPENDENT,513
BUTAMBALA,,INDEPENDENT,515
BUTAMBALA,NSIMBI MUZAMILU,INDEPENDENT,519
BUTAMBALA,,INDEPENDENT,520
BUTAMBALA,KIIGE YUSUFU,INDEPENDENT,521
BUTAMBALA,,INDEPENDENT,524
BUTAMBALA,KATABAAZI FRANCIS,INDEPENDENT,526
BUTAMBALA,KATONGOLE,INDEPENDENT,527
BUTAMBALA,SSEMPIJJA VICENT FRERRIO,INDEPENDENT,527
BUTAMBALA,BAMULANGAKI,INDEPENDENT,528
BUTAMBALA,LULE UMAR MAWIYA,INDEPENDENT,528
BUTAMBALA,MUGOOMA DIDAS,INDEPENDENT,528
BUTAMBALA,SSEWUNGU JOSEPH,INDEPENDENT,528
BUTAMBALA,GONZAGA,INDEPENDENT,528
BUTAMBALA,MUGAGGA JOSEPH,INDEPENDENT,530
BUTAMBALA,KAKOOZA MAHAD,INDEPENDENT,530
BUTAMBALA,LUWUKYA ALI LUSIBA,INDEPENDENT,533
BUTAMBALA,NTAMBAAZI MARGRET,INDEPENDENT,535
BUTAMBALA,NABAGGALA,INDEPENDENT,535
BUTAMBALA,MUGERWA TIMOTHY,INDEPENDENT,537
BUTAMBALA,NSEREKO MUHAMMAD,INDEPENDENT,538
BUTAMBALA,NYANZI FRED SSENTAMU,INDEPENDENT,539
BUTAMBALA,NDILIMA BABU CEDRIC,INDEPENDENT,543
BUTAMBALA,KAIJA HAROLD SCANDRONE,INDEPENDENT,544
BUTAMBALA,MUKASA RONALD EDWARD,INDEPENDENT,545
BUTAMBALA,SSENKUBUGE,INDEPENDENT,546
BUTAMBALA,SSEGIRINYA MUHAMMAD,INDEPENDENT,547
BUTAMBALA,SERWADDA SULAIMAN,INDEPENDENT,549
BUTAMBALA,KIDANDALA,INDEPENDENT,550
BUTAMBALA,KASENGE TOM JOHNFISHER,INDEPENDENT,551
BUTAMBALA,SEBAGGALA ABDULATIF,INDEPENDENT,553
BUTAMBALA,SENGENDO,INDEPENDENT,554
BUTAMBALA,MUTAZINDWA MUHAMOOD,INDEPENDENT,554
BUTAMBALA,SERUNKUMA SALIM,INDEPENDENT,555
BUTAMBALA,MULUMBA MATTHIAS,INDEPENDENT,556
BUTAMBALA,SENDAWULA ROGERS,INDEPENDENT,557
BUTAMBALA,NANYUNJA ROBINAH,INDEPENDENT,558
BUTAMBALA,BURROWS JOHN LUMU,INDEPENDENT,558
BUTAMBALA,KAZIBWE BASHIR MBAZIIRA,INDEPENDENT,558
BUTAMBALA,SOLOMON MAYANJA,INDEPENDENT,560
BUTAMBALA,MUNYAGWA SSERUNGA,INDEPENDENT,560
BUTAMBALA,MUBARAK,INDEPENDENT,563
BUTAMBALA,SSEMBOGGA ROY,INDEPENDENT,563
BUTAMBALA,MAKUREGYE NATHAN,INDEPENDENT,565
BUTAMBALA,JUSTICE GAHUNGU,INDEPENDENT,569
BUTAMBALA,SEBULIBA RICHARD MUTUMBA,INDEPENDENT,570
BUTAMBALA,TENYWA EDRISA,INDEPENDENT,570
BUTAMBALA,MAKUMBI KENNEDY STEADY,INDEPENDENT,571
BUTAMBALA,JOHN,INDEPENDENT,571
BUTAMBALA,LUMU JOHN BAPTIST,INDEPENDENT,574
BUTAMBALA,ANGUZU SILAS,INDEPENDENT,578
BUTAMBALA,NYEKO DERRICK,INDEPENDENT,582
BUTAMBALA,OWOBUSINGYE KAILUKABI,INDEPENDENT,584
BUTAMBALA,ELIJAH,INDEPENDENT,586
BUTAMBALA,KASOZI IBRAHIM BIRIBAWA,INDEPENDENT,586
BUTAMBALA,MABIKKE MICHAEL SSENINDE,INDEPENDENT,587
BUTAMBALA,LUKANGA AMINAH NANZIRI,INDEPENDENT,588
BUTAMBALA,KABUYE SULAIMAN,INDEPENDENT,590
BUTAMBALA,SSENTAMU SAMUEL KABANDA,INDEPENDENT,592
BUTAMBALA,NKAMBO SSENUNGI DAUDI,INDEPENDENT,593
BUTAMBALA,LUMBUYE,INDEPENDENT,593
BUTAMBALA,SEKAJUGO PAUL NICHOLAS,INDEPENDENT,596
BUTAMBALA,SSEWANYANA ALLAN,INDEPENDENT,596
BUTAMBALA,ALOIZIOUS,INDEPENDENT,600
BUTAMBALA,LUBEGA ACHILLES,INDEPENDENT,602
BUTAMBALA,NTEGE FAROUQ,INDEPENDENT,602
BUTAMBALA,LUSAGALA BOSCO,INDEPENDENT,603
BUTAMBALA,SSERUNGA ABUBAKAR,INDEPENDENT,606
BUTAMBALA,KYAZZE KASSIM,INDEPENDENT,607
BUTAMBALA,KIZITO EXPERITO,INDEPENDENT,607
BUTAMBALA,BALIMWEZO RONALD,INDEPENDENT,608
BUTAMBALA,NSUBUGA,INDEPENDENT,609
BUTAMBALA,RUHINDI FREDRICK,INDEPENDENT,610
BUTAMBALA,KABAZIGURUKA MICHAEL,INDEPENDENT,610
BUTAMBALA,ANDREW,INDEPENDENT,611
BUTAMBALA,KATURAMU JOB MUTUNGI,INDEPENDENT,614
BUTAMBALA,KEENO CHARLES RONNY,INDEPENDENT,617
BUTAMBALA,MUKIIBI ELISHA MUGISHA,INDEPENDENT,620
BUTAMBALA,MBADHWE JOHN,INDEPENDENT,621
BUTAMBALA,SSENYONYI JOEL BESEKEZI,INDEPENDENT,621
BUTAMBALA,ZZIWA - NANTONGO,INDEPENDENT,622
BUTAMBALA,MARGARET,INDEPENDENT,622
BUTAMBALA,KAKANDE KENNETH PAUL,INDEPENDENT,623
BUTAMBALA,KYAMBADDE WILBERFORCE,INDEPENDENT,625
BUTAMBALA,ACER GODFREY OKOT,INDEPENDENT,625
BUTAMBALA,SHUKLA MUKESH BABUBHAI,INDEPENDENT,627
BUTAMBALA,ASIIMWE ROBERT,INDEPENDENT,628
BUTAMBALA,KATUSIIME CHRISTINE,INDEPENDENT,628
BUTAMBALA,GLORIA,INDEPENDENT,629
BUTAMBALA,KASOZI ROBERT,INDEPENDENT,631
BUTAMBALA,ISABIRYE ZACHARIA,INDEPENDENT,632
BUTAMBALA,AISHA WANYANA,INDEPENDENT,633
BUTAMBALA,TEBISUULA EMMANUEL,INDEPENDENT,636
BUTAMBALA,SSERUMAGA,INDEPENDENT,637
BUTAMBALA,KALUMBA BENJAMIN,INDEPENDENT,637
BUTAMBALA,SEBULIBA,INDEPENDENT,639
BUTAMBALA,IMONG MOIRA ANTONIA,INDEPENDENT,642
BUTAMBALA,KAWALYA ABUBAKER,INDEPENDENT,643
BUTAMBALA,KAMYA BETI TURWOMWE,INDEPENDENT,643
BUTAMBALA,KASIBANTE MOSES,INDEPENDENT,647
BUTAMBALA,KASULE ARAFAATI SULAIMAN,INDEPENDENT,647
BUTAMBALA,TINDYEBWA BRIAN,INDEPENDENT,648
BUTAMBALA,KUSINGURA,INDEPENDENT,648
BUTAMBALA,KIZITO FRANCIS,INDEPENDENT,650
BUTAMBALA,SEMAYOBE NICHOLAS,INDEPENDENT,653
BUTAMBALA,MUKASA ALOYSIUS TALTON,INDEPENDENT,655
BUTAMBALA,GOLD,INDEPENDENT,659
BUTAMBALA,NASSOLO EUGENIA,INDEPENDENT,660
BUTAMBALA,MALE CHARLES KENNETH,INDEPENDENT,662
BUTAMBALA,KIFAMPA SIRAJE NSAMBU,INDEPENDENT,664
BUTAMBALA,KATO LUBWAMA PAUL,INDEPENDENT,666
BUTAMBALA,MUGGA ADAM SWIFT,INDEPENDENT,668
BUTAMBALA,LUFUNYA DERICK,INDEPENDENT,669
BUTAMBALA,KEN-LUKYAMUZI JOHN,INDEPENDENT,670
BUTAMBALA,LUBEGA SAMUEL WALTER,INDEPENDENT,671
BUTAMBALA,MUKAAKU,INDEPENDENT,672
BUTAMBALA,BUWEMBO HABIB,INDEPENDENT,672
BUTAMBALA,KIYINGI DENIS,INDEPENDENT,675
BUTAMBALA,NAKANWAGI GRACE,INDEPENDENT,677
BUTAMBALA,SSEBUGGWAWO MBIDDE,INDEPENDENT,681
BUTAMBALA,DENIS,INDEPENDENT,681
BUTAMBALA,KAYEMBA MICHAEL OSCAR,INDEPENDENT,681
BUTAMBALA,TEIRA JOHN,INDEPENDENT,682
BUTAMBALA,MULINDWA GEORGE,INDEPENDENT,686
BUTAMBALA,OMONDI FLAVIA,INDEPENDENT,686
BUTAMBALA,NTENDE JULIUS,INDEPENDENT,686
BUTAMBALA,BYEKWASO GEOFREY,INDEPENDENT,686
BUTAMBALA,ADEPO FRANCIS,INDEPENDENT,687
BUTAMBALA,KAWUZI SAMSON,INDEPENDENT,688
BUTAMBALA,KITIMBO EDWARD,INDEPENDENT,690
BUTAMBALA,KIBALYA HENRY MAURICE,INDEPENDENT,691
BUTAMBALA,MUWANGUZI ANDREW,INDEPENDENT,693
BUTAMBALA,DHIZAALA SANON MOSES,INDEPENDENT,695
BUTAMBALA,KATEGERE THOMAS,INDEPENDENT,696
BUTAMBALA,WALUBO JUDE TADEO,INDEPENDENT,698
BUTAMBALA,GWAIVU ROBERT,INDEPENDENT,698
BUTAMBALA,LWALANDA GEOFFREY,INDEPENDENT,699
BUTAMBALA,LUNAGULA PHOOLA,INDEPENDENT,699
BUTAMBALA,DHIZAALA MATHOUS IBANDA,INDEPENDENT,700
BUTAMBALA,NSOOLI PROSSY,INDEPENDENT,700
BUTAMBALA,KITAMIRIKE ENOCK MICHEAL,INDEPENDENT,701
BUTAMBALA,MUGABI MUZAALE MARTIN,INDEPENDENT,701
BUTAMBALA,KISULE,INDEPENDENT,703
BUTAMBALA,ISANGA MUSUMBA ISAAC,INDEPENDENT,705
BUTAMBALA,KINTU BAMUSIBULE PAUL,INDEPENDENT,706
BUTAMBALA,KAFAMBE NICHOLAS,INDEPENDENT,708
BUTAMBALA,TALIYIWULA SHARON,INDEPENDENT,710
BUTAMBALA,KIRENDA SAMUEL ISABIRYE,INDEPENDENT,718
BUTAMBALA,MWASE DANIEL BALIBONAKI,INDEPENDENT,718
BUTAMBALA,NAIKOBA PROSSY,INDEPENDENT,719
BUTAMBALA,OMAALI CHARLES,INDEPENDENT,720
BUTAMBALA,WAKABI JOSEPH ABIAM,INDEPENDENT,722
BUTAMBALA,LUVUNYA MOSES MUGENYI,INDEPENDENT,722
BUTAMBALA,KAYANGA BARODA,INDEPENDENT,723
BUTAMBALA,NAMATOVU MASTULA,INDEPENDENT,732
BUTAMBALA,BIGIRWA MOSES,INDEPENDENT,734
BUTAMBALA,MUGOYA GODFREY,INDEPENDENT,739
